lat_lon,Decade,Deaths,Latitude,Longitude,Units
40.67465521-73.97663029,1960s,1,40.67465521,-73.97663029,SQUAD 1
40.67477592-73.92172507,1920s,1,40.67477592,-73.92172507,ENGINE 227
40.67477592-73.92172507,1930s,1,40.67477592,-73.92172507,ENGINE 227
40.67547954-73.89260259,1970s,1,40.67547954,-73.89260259,"ENGINE 332, LADDER 175"
40.67547954-73.89260259,1980s,1,40.67547954,-73.89260259,"ENGINE 332, LADDER 175"
40.67547954-73.89260259,1990s,1,40.67547954,-73.89260259,"ENGINE 332, LADDER 175"
40.67765536-73.87277484,1970s,1,40.67765536,-73.87277484,ENGINE 236
40.68029644-74.00634593,1900s,1,40.68029644,-74.00634593,"BATTALION 32, ENGINE 202, LADDER 101"
40.68029644-74.00634593,1910s,1,40.68029644,-74.00634593,"BATTALION 32, ENGINE 202, LADDER 101"
40.68029644-74.00634593,1920s,1,40.68029644,-74.00634593,"BATTALION 32, ENGINE 202, LADDER 101"
40.68029644-74.00634593,1930s,3,40.68029644,-74.00634593,"BATTALION 32, ENGINE 202, LADDER 101"
40.68029644-74.00634593,1940s,2,40.68029644,-74.00634593,"BATTALION 32, ENGINE 202, LADDER 101"
40.68119604-73.97386506,1890s,1,40.68119604,-73.97386506,"ENGINE 219, LADDER 105"
40.68119604-73.97386506,1900s,1,40.68119604,-73.97386506,"ENGINE 219, LADDER 105"
40.68119604-73.97386506,1910s,1,40.68119604,-73.97386506,"ENGINE 219, LADDER 105"
40.68119604-73.97386506,1920s,1,40.68119604,-73.97386506,"ENGINE 219, LADDER 105"
40.68119604-73.97386506,1940s,3,40.68119604,-73.97386506,"ENGINE 219, LADDER 105"
40.68119604-73.97386506,1950s,2,40.68119604,-73.97386506,"ENGINE 219, LADDER 105"
40.68119604-73.97386506,1970s,1,40.68119604,-73.97386506,"ENGINE 219, LADDER 105"
40.68267334-73.84190783,1920s,3,40.68267334,-73.84190783,"ENGINE 285, LADDER 142"
40.68267334-73.84190783,1960s,1,40.68267334,-73.84190783,"ENGINE 285, LADDER 142"
40.68267334-73.84190783,1970s,1,40.68267334,-73.84190783,"ENGINE 285, LADDER 142"
40.68267708-73.91137387,1930s,1,40.68267708,-73.91137387,ENGINE 233
40.68267708-73.91137387,1940s,3,40.68267708,-73.91137387,ENGINE 233
40.68390269-73.8233498,1940s,1,40.68390269,-73.8233498,"BATTALION 51, ENGINE 308"
40.68390269-73.8233498,1960s,1,40.68390269,-73.8233498,"BATTALION 51, ENGINE 308"
40.68390269-73.8233498,1970s,1,40.68390269,-73.8233498,"BATTALION 51, ENGINE 308"
40.68441184-73.93575738,1940s,2,40.68441184,-73.93575738,"ENGINE 214, LADDER 111"
40.68517674-73.95107155,1970s,1,40.68517674,-73.95107155,ENGINE 235
40.68713052-73.98271319,1900s,1,40.68713052,-73.98271319,ENGINE 226
40.68713052-73.98271319,1910s,1,40.68713052,-73.98271319,ENGINE 226
40.68856874-73.85603231,1910s,1,40.68856874,-73.85603231,ENGINE 293
40.68856874-73.85603231,1930s,1,40.68856874,-73.85603231,ENGINE 293
40.68856874-73.85603231,1940s,1,40.68856874,-73.85603231,ENGINE 293
40.68954034-73.92437636,1950s,2,40.68954034,-73.92437636,BATTALION 37
40.69267483-73.93797979,1930s,1,40.69267483,-73.93797979,ENGINE 217
40.69311524-73.75554916,1950s,1,40.69311524,-73.75554916,LADDER 165
40.69345785-73.78101838,1960s,1,40.69345785,-73.78101838,ENGINE 275
40.69354195-73.80687423,1920s,1,40.69354195,-73.80687423,"ENGINE 303, LADDER 126"
40.69354195-73.80687423,1940s,1,40.69354195,-73.80687423,"ENGINE 303, LADDER 126"
40.69354195-73.80687423,1960s,1,40.69354195,-73.80687423,"ENGINE 303, LADDER 126"
40.69482317-73.84624156,1950s,1,40.69482317,-73.84624156,"ENGINE 294, LADDER 143"
40.69482317-73.84624156,1960s,1,40.69482317,-73.84624156,"ENGINE 294, LADDER 143"
40.69482317-73.84624156,1970s,2,40.69482317,-73.84624156,"ENGINE 294, LADDER 143"
40.69482317-73.84624156,1980s,1,40.69482317,-73.84624156,"ENGINE 294, LADDER 143"
40.69529435-73.82588828,1950s,1,40.69529435,-73.82588828,DIVISION 13
40.69529435-73.82588828,1970s,1,40.69529435,-73.82588828,DIVISION 13
40.69529435-73.82588828,1990s,1,40.69529435,-73.82588828,DIVISION 13
